student_id,instrument,week,item_code,response,reflection_text,ai_response,instrument,item_code,subscale,response,week
S1011,NASA_TLX,11,Q1,4.5,I didn’t fully understand the instructions and relied on peers for clarification.,You can add more detail about how you planned or revised your approach.,SelfEfficacy,SelfEfficacy_Effort_8,Effort,4,5
S1012,MSLQ,4,Q1,4.38,I struggled to focus and need to improve my time management.,Excellent metacognitive awareness in this response.,SelfEfficacy,SelfEfficacy_Effort_1,Effort,1,4
S1013,NASA_TLX,6,Q2,5.03,The task was challenging but helped me learn new strategies.,You can add more detail about how you planned or revised your approach.,SelfEfficacy,SelfEfficacy_Confidence_3,Confidence,6,3
S1014,SelfEfficacy,6,Q4,4.87,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Try elaborating more on what worked and what didn’t.,SelfEfficacy,SelfEfficacy_Persistence_4,Persistence,4,2
S1015,MSLQ,1,Q4,4.77,The task was challenging but helped me learn new strategies.,You can add more detail about how you planned or revised your approach.,SelfEfficacy,SelfEfficacy_Persistence_2,Persistence,4,1
S1016,SelfEfficacy,8,Q9,7,The task was challenging but helped me learn new strategies.,Consider connecting your reasoning steps to outcomes.,NASA_TLX,NASA_TLX_E_3,TLX,4,2
S1017,SelfEfficacy,6,Q10,4.35,The task was challenging but helped me learn new strategies.,Excellent metacognitive awareness in this response.,MSLQ,MSLQ_Motivation_7,Motivation,2,1
S1018,SelfEfficacy,3,Q1,6.59,I struggled to focus and need to improve my time management.,Try elaborating more on what worked and what didn’t.,SelfEfficacy,SelfEfficacy_Effort_1,Effort,5,1
S1019,SelfEfficacy,9,Q9,4.41,I felt confident during the activity because I planned my steps carefully.,You can add more detail about how you planned or revised your approach.,NASA_TLX,NASA_TLX_TD_8,TLX,6,4
S1020,MSLQ,2,Q4,3.92,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Excellent metacognitive awareness in this response.,NASA_TLX,NASA_TLX_E_8,TLX,3,1
S1021,MSLQ,11,Q9,3.63,I felt confident during the activity because I planned my steps carefully.,Excellent metacognitive awareness in this response.,NASA_TLX,NASA_TLX_TD_4,TLX,1,1
S1022,SelfEfficacy,8,Q7,5.51,I felt confident during the activity because I planned my steps carefully.,Try elaborating more on what worked and what didn’t.,MSLQ,MSLQ_SelfRegulation_2,SelfRegulation,3,3
S1023,SelfEfficacy,10,Q4,5.64,I felt confident during the activity because I planned my steps carefully.,You can add more detail about how you planned or revised your approach.,SelfEfficacy,SelfEfficacy_Confidence_6,Confidence,2,2
S1024,MSLQ,3,Q8,4.6,The task was challenging but helped me learn new strategies.,Excellent metacognitive awareness in this response.,SelfEfficacy,SelfEfficacy_Effort_2,Effort,3,3
S1025,MSLQ,12,Q10,5.13,I didn’t fully understand the instructions and relied on peers for clarification.,Excellent metacognitive awareness in this response.,NASA_TLX,NASA_TLX_P_4,TLX,5,1
S1026,MSLQ,5,Q5,2.72,The task was challenging but helped me learn new strategies.,Good reflection. You identified specific strategies and challenges.,NASA_TLX,NASA_TLX_P_9,TLX,1,2
S1027,NASA_TLX,6,Q1,2.45,The task was challenging but helped me learn new strategies.,Excellent metacognitive awareness in this response.,SelfEfficacy,SelfEfficacy_Confidence_9,Confidence,6,3
S1028,NASA_TLX,10,Q3,5.25,I felt confident during the activity because I planned my steps carefully.,Good reflection. You identified specific strategies and challenges.,NASA_TLX,NASA_TLX_TD_7,TLX,2,4
S1029,NASA_TLX,6,Q7,3.87,The task was challenging but helped me learn new strategies.,You can add more detail about how you planned or revised your approach.,NASA_TLX,NASA_TLX_TD_3,TLX,7,3
S1030,SelfEfficacy,4,Q6,4.75,I felt confident during the activity because I planned my steps carefully.,You can add more detail about how you planned or revised your approach.,NASA_TLX,NASA_TLX_E_7,TLX,6,3
S1031,NASA_TLX,3,Q5,3.28,I didn’t fully understand the instructions and relied on peers for clarification.,You can add more detail about how you planned or revised your approach.,MSLQ,MSLQ_Motivation_7,Motivation,2,3
S1032,SelfEfficacy,4,Q3,5.66,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Consider connecting your reasoning steps to outcomes.,MSLQ,MSLQ_SelfRegulation_4,SelfRegulation,4,2
S1033,SelfEfficacy,1,Q4,2.46,I felt confident during the activity because I planned my steps carefully.,You can add more detail about how you planned or revised your approach.,NASA_TLX,NASA_TLX_FR_6,TLX,1,2
S1034,NASA_TLX,4,Q6,2.61,I didn’t fully understand the instructions and relied on peers for clarification.,Excellent metacognitive awareness in this response.,SelfEfficacy,SelfEfficacy_Persistence_1,Persistence,1,3
S1035,SelfEfficacy,1,Q2,5.44,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Try elaborating more on what worked and what didn’t.,MSLQ,MSLQ_SelfRegulation_2,SelfRegulation,7,1
S1036,NASA_TLX,12,Q2,1.39,I struggled to focus and need to improve my time management.,Good reflection. You identified specific strategies and challenges.,SelfEfficacy,SelfEfficacy_Effort_5,Effort,6,4
S1037,NASA_TLX,1,Q7,4.38,I felt confident during the activity because I planned my steps carefully.,Consider connecting your reasoning steps to outcomes.,SelfEfficacy,SelfEfficacy_Persistence_2,Persistence,2,4
S1038,MSLQ,10,Q2,3.89,I felt confident during the activity because I planned my steps carefully.,You can add more detail about how you planned or revised your approach.,MSLQ,MSLQ_SelfRegulation_2,SelfRegulation,2,2
S1039,NASA_TLX,6,Q6,3.26,I struggled to focus and need to improve my time management.,You can add more detail about how you planned or revised your approach.,NASA_TLX,NASA_TLX_TD_8,TLX,2,2
S1040,MSLQ,5,Q6,3.8,I struggled to focus and need to improve my time management.,Try elaborating more on what worked and what didn’t.,MSLQ,MSLQ_SelfRegulation_9,SelfRegulation,3,2
S1041,NASA_TLX,11,Q10,3.15,I felt confident during the activity because I planned my steps carefully.,Try elaborating more on what worked and what didn’t.,SelfEfficacy,SelfEfficacy_Effort_6,Effort,3,4
S1042,NASA_TLX,4,Q5,5.54,I struggled to focus and need to improve my time management.,Consider connecting your reasoning steps to outcomes.,SelfEfficacy,SelfEfficacy_Confidence_8,Confidence,3,4
S1043,MSLQ,11,Q1,5.8,The task was challenging but helped me learn new strategies.,Good reflection. You identified specific strategies and challenges.,NASA_TLX,NASA_TLX_E_9,TLX,4,1
S1044,MSLQ,3,Q8,3.31,AI feedback helped me correct my errors quickly and reflect on my reasoning.,You can add more detail about how you planned or revised your approach.,MSLQ,MSLQ_CognitiveStrategy_2,CognitiveStrategy,2,3
S1045,NASA_TLX,1,Q9,4.28,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Consider connecting your reasoning steps to outcomes.,SelfEfficacy,SelfEfficacy_Persistence_5,Persistence,7,1
S1046,SelfEfficacy,6,Q2,2.67,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Excellent metacognitive awareness in this response.,NASA_TLX,NASA_TLX_FR_4,TLX,6,3
S1047,MSLQ,2,Q7,5.07,The task was challenging but helped me learn new strategies.,Excellent metacognitive awareness in this response.,SelfEfficacy,SelfEfficacy_Confidence_1,Confidence,6,2
S1048,SelfEfficacy,8,Q2,5.05,I struggled to focus and need to improve my time management.,Consider connecting your reasoning steps to outcomes.,SelfEfficacy,SelfEfficacy_Effort_7,Effort,2,2
S1049,SelfEfficacy,10,Q9,3.7,I didn’t fully understand the instructions and relied on peers for clarification.,You can add more detail about how you planned or revised your approach.,SelfEfficacy,SelfEfficacy_Confidence_4,Confidence,5,3
S1050,SelfEfficacy,5,Q5,4.02,I struggled to focus and need to improve my time management.,Consider connecting your reasoning steps to outcomes.,SelfEfficacy,SelfEfficacy_Persistence_5,Persistence,6,2
S1051,MSLQ,7,Q10,3.91,I felt confident during the activity because I planned my steps carefully.,You can add more detail about how you planned or revised your approach.,MSLQ,MSLQ_SelfRegulation_2,SelfRegulation,2,2
S1052,SelfEfficacy,10,Q6,2.38,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Try elaborating more on what worked and what didn’t.,NASA_TLX,NASA_TLX_PD_2,TLX,6,4
S1053,MSLQ,12,Q10,5.55,I struggled to focus and need to improve my time management.,Consider connecting your reasoning steps to outcomes.,NASA_TLX,NASA_TLX_PD_9,TLX,3,5
S1054,SelfEfficacy,2,Q4,3.23,I didn’t fully understand the instructions and relied on peers for clarification.,You can add more detail about how you planned or revised your approach.,NASA_TLX,NASA_TLX_FR_1,TLX,6,1
S1055,NASA_TLX,8,Q2,3.24,I felt confident during the activity because I planned my steps carefully.,Consider connecting your reasoning steps to outcomes.,MSLQ,MSLQ_CognitiveStrategy_3,CognitiveStrategy,4,2
S1056,NASA_TLX,2,Q1,3.85,The task was challenging but helped me learn new strategies.,Consider connecting your reasoning steps to outcomes.,NASA_TLX,NASA_TLX_PD_3,TLX,6,5
S1057,MSLQ,4,Q4,5,The task was challenging but helped me learn new strategies.,You can add more detail about how you planned or revised your approach.,MSLQ,MSLQ_Motivation_5,Motivation,2,3
S1058,NASA_TLX,1,Q5,3.41,I didn’t fully understand the instructions and relied on peers for clarification.,You can add more detail about how you planned or revised your approach.,SelfEfficacy,SelfEfficacy_Effort_6,Effort,3,2
S1059,NASA_TLX,5,Q2,2.05,I felt confident during the activity because I planned my steps carefully.,Good reflection. You identified specific strategies and challenges.,SelfEfficacy,SelfEfficacy_Effort_5,Effort,2,3
S1060,SelfEfficacy,9,Q4,3.11,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Consider connecting your reasoning steps to outcomes.,SelfEfficacy,SelfEfficacy_Confidence_1,Confidence,2,1
S1061,MSLQ,1,Q2,4.42,I struggled to focus and need to improve my time management.,Excellent metacognitive awareness in this response.,SelfEfficacy,SelfEfficacy_Confidence_3,Confidence,3,1
S1062,SelfEfficacy,9,Q7,6.19,I felt confident during the activity because I planned my steps carefully.,Consider connecting your reasoning steps to outcomes.,NASA_TLX,NASA_TLX_FR_8,TLX,3,4
S1063,SelfEfficacy,11,Q5,2.74,The task was challenging but helped me learn new strategies.,Consider connecting your reasoning steps to outcomes.,SelfEfficacy,SelfEfficacy_Effort_6,Effort,1,3
S1064,SelfEfficacy,8,Q8,2.7,I didn’t fully understand the instructions and relied on peers for clarification.,You can add more detail about how you planned or revised your approach.,NASA_TLX,NASA_TLX_P_6,TLX,5,4
S1065,SelfEfficacy,6,Q6,2.49,I didn’t fully understand the instructions and relied on peers for clarification.,Consider connecting your reasoning steps to outcomes.,MSLQ,MSLQ_CognitiveStrategy_7,CognitiveStrategy,4,2
S1066,SelfEfficacy,7,Q3,2.36,I struggled to focus and need to improve my time management.,Consider connecting your reasoning steps to outcomes.,SelfEfficacy,SelfEfficacy_Effort_7,Effort,6,5
S1067,SelfEfficacy,3,Q6,5.21,I didn’t fully understand the instructions and relied on peers for clarification.,Excellent metacognitive awareness in this response.,NASA_TLX,NASA_TLX_P_1,TLX,5,3
S1068,SelfEfficacy,1,Q6,5.49,I didn’t fully understand the instructions and relied on peers for clarification.,You can add more detail about how you planned or revised your approach.,MSLQ,MSLQ_SelfRegulation_4,SelfRegulation,2,4
S1069,MSLQ,5,Q4,4.18,I felt confident during the activity because I planned my steps carefully.,Consider connecting your reasoning steps to outcomes.,NASA_TLX,NASA_TLX_E_5,TLX,1,1
S1070,NASA_TLX,12,Q5,3.53,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Try elaborating more on what worked and what didn’t.,SelfEfficacy,SelfEfficacy_Effort_4,Effort,3,1
S1071,SelfEfficacy,12,Q2,5.79,I struggled to focus and need to improve my time management.,Good reflection. You identified specific strategies and challenges.,MSLQ,MSLQ_SelfRegulation_8,SelfRegulation,4,4
S1072,SelfEfficacy,2,Q10,4.17,I felt confident during the activity because I planned my steps carefully.,Excellent metacognitive awareness in this response.,NASA_TLX,NASA_TLX_PD_5,TLX,2,5
S1073,SelfEfficacy,5,Q3,5.09,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Consider connecting your reasoning steps to outcomes.,MSLQ,MSLQ_CognitiveStrategy_7,CognitiveStrategy,6,5
S1074,SelfEfficacy,8,Q9,3.48,I felt confident during the activity because I planned my steps carefully.,Try elaborating more on what worked and what didn’t.,SelfEfficacy,SelfEfficacy_Effort_8,Effort,5,2
S1075,SelfEfficacy,11,Q4,4.04,I felt confident during the activity because I planned my steps carefully.,Consider connecting your reasoning steps to outcomes.,NASA_TLX,NASA_TLX_TD_5,TLX,6,1
S1076,SelfEfficacy,9,Q3,2.76,I didn’t fully understand the instructions and relied on peers for clarification.,Consider connecting your reasoning steps to outcomes.,MSLQ,MSLQ_CognitiveStrategy_9,CognitiveStrategy,1,5
S1077,NASA_TLX,2,Q8,4.63,AI feedback helped me correct my errors quickly and reflect on my reasoning.,You can add more detail about how you planned or revised your approach.,MSLQ,MSLQ_Motivation_6,Motivation,6,4
S1078,NASA_TLX,12,Q7,4.19,I struggled to focus and need to improve my time management.,You can add more detail about how you planned or revised your approach.,NASA_TLX,NASA_TLX_MD_8,TLX,2,2
S1079,SelfEfficacy,3,Q5,3.11,I struggled to focus and need to improve my time management.,You can add more detail about how you planned or revised your approach.,SelfEfficacy,SelfEfficacy_Persistence_4,Persistence,4,4
S1080,NASA_TLX,3,Q9,3.12,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Try elaborating more on what worked and what didn’t.,SelfEfficacy,SelfEfficacy_Persistence_5,Persistence,4,5
S1081,MSLQ,1,Q4,5.62,I didn’t fully understand the instructions and relied on peers for clarification.,Consider connecting your reasoning steps to outcomes.,NASA_TLX,NASA_TLX_FR_5,TLX,6,2
S1082,SelfEfficacy,8,Q6,5.97,The task was challenging but helped me learn new strategies.,Good reflection. You identified specific strategies and challenges.,MSLQ,MSLQ_CognitiveStrategy_1,CognitiveStrategy,2,4
S1083,MSLQ,6,Q1,3.79,I felt confident during the activity because I planned my steps carefully.,Excellent metacognitive awareness in this response.,SelfEfficacy,SelfEfficacy_Confidence_4,Confidence,2,4
S1084,MSLQ,12,Q4,4.07,I didn’t fully understand the instructions and relied on peers for clarification.,You can add more detail about how you planned or revised your approach.,NASA_TLX,NASA_TLX_FR_9,TLX,3,3
S1085,SelfEfficacy,8,Q1,4.4,AI feedback helped me correct my errors quickly and reflect on my reasoning.,You can add more detail about how you planned or revised your approach.,SelfEfficacy,SelfEfficacy_Persistence_6,Persistence,3,4
S1086,NASA_TLX,11,Q6,4.15,I felt confident during the activity because I planned my steps carefully.,Consider connecting your reasoning steps to outcomes.,MSLQ,MSLQ_CognitiveStrategy_2,CognitiveStrategy,2,2
S1087,MSLQ,9,Q7,2.33,I struggled to focus and need to improve my time management.,Consider connecting your reasoning steps to outcomes.,MSLQ,MSLQ_Motivation_4,Motivation,2,5
S1088,SelfEfficacy,5,Q5,4.43,The task was challenging but helped me learn new strategies.,Try elaborating more on what worked and what didn’t.,SelfEfficacy,SelfEfficacy_Confidence_2,Confidence,2,5
S1089,MSLQ,12,Q2,1.91,I struggled to focus and need to improve my time management.,Try elaborating more on what worked and what didn’t.,SelfEfficacy,SelfEfficacy_Confidence_1,Confidence,4,5
S1090,MSLQ,3,Q4,3.27,AI feedback helped me correct my errors quickly and reflect on my reasoning.,You can add more detail about how you planned or revised your approach.,NASA_TLX,NASA_TLX_P_9,TLX,3,4
S1091,MSLQ,5,Q10,4.51,I felt confident during the activity because I planned my steps carefully.,Consider connecting your reasoning steps to outcomes.,SelfEfficacy,SelfEfficacy_Effort_5,Effort,3,1
S1092,MSLQ,5,Q6,4.6,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Good reflection. You identified specific strategies and challenges.,SelfEfficacy,SelfEfficacy_Persistence_3,Persistence,6,2
S1093,NASA_TLX,5,Q4,3.19,I felt confident during the activity because I planned my steps carefully.,Excellent metacognitive awareness in this response.,NASA_TLX,NASA_TLX_MD_6,TLX,2,3
S1094,MSLQ,3,Q8,3.54,I didn’t fully understand the instructions and relied on peers for clarification.,Consider connecting your reasoning steps to outcomes.,SelfEfficacy,SelfEfficacy_Persistence_1,Persistence,7,5
S1095,MSLQ,11,Q7,3.41,The task was challenging but helped me learn new strategies.,Consider connecting your reasoning steps to outcomes.,MSLQ,MSLQ_CognitiveStrategy_3,CognitiveStrategy,6,3
S1096,MSLQ,10,Q8,3.9,I didn’t fully understand the instructions and relied on peers for clarification.,Try elaborating more on what worked and what didn’t.,MSLQ,MSLQ_Motivation_7,Motivation,2,3
S1097,NASA_TLX,4,Q3,3.97,I didn’t fully understand the instructions and relied on peers for clarification.,Excellent metacognitive awareness in this response.,SelfEfficacy,SelfEfficacy_Persistence_6,Persistence,3,1
S1098,MSLQ,9,Q5,4.67,AI feedback helped me correct my errors quickly and reflect on my reasoning.,You can add more detail about how you planned or revised your approach.,NASA_TLX,NASA_TLX_E_9,TLX,2,4
S1099,MSLQ,10,Q3,3.48,The task was challenging but helped me learn new strategies.,Consider connecting your reasoning steps to outcomes.,MSLQ,MSLQ_SelfRegulation_6,SelfRegulation,2,2
S1100,NASA_TLX,9,Q4,4.37,I felt confident during the activity because I planned my steps carefully.,You can add more detail about how you planned or revised your approach.,SelfEfficacy,SelfEfficacy_Effort_5,Effort,3,1
S1101,NASA_TLX,2,Q9,4.51,I felt confident during the activity because I planned my steps carefully.,Consider connecting your reasoning steps to outcomes.,MSLQ,MSLQ_SelfRegulation_7,SelfRegulation,1,5
S1102,NASA_TLX,8,Q9,4.2,I struggled to focus and need to improve my time management.,You can add more detail about how you planned or revised your approach.,SelfEfficacy,SelfEfficacy_Persistence_9,Persistence,1,1
S1103,MSLQ,8,Q5,3.74,I felt confident during the activity because I planned my steps carefully.,Excellent metacognitive awareness in this response.,MSLQ,MSLQ_CognitiveStrategy_7,CognitiveStrategy,4,1
S1104,NASA_TLX,7,Q10,4.18,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Try elaborating more on what worked and what didn’t.,SelfEfficacy,SelfEfficacy_Confidence_9,Confidence,5,1
S1105,NASA_TLX,8,Q7,4.75,I didn’t fully understand the instructions and relied on peers for clarification.,Excellent metacognitive awareness in this response.,SelfEfficacy,SelfEfficacy_Persistence_8,Persistence,3,3
S1106,MSLQ,3,Q10,4.84,I didn’t fully understand the instructions and relied on peers for clarification.,Good reflection. You identified specific strategies and challenges.,SelfEfficacy,SelfEfficacy_Persistence_8,Persistence,7,1
S1107,NASA_TLX,6,Q7,5.82,I didn’t fully understand the instructions and relied on peers for clarification.,Try elaborating more on what worked and what didn’t.,NASA_TLX,NASA_TLX_MD_2,TLX,3,5
S1108,MSLQ,1,Q6,3.01,The task was challenging but helped me learn new strategies.,Excellent metacognitive awareness in this response.,NASA_TLX,NASA_TLX_P_7,TLX,7,3
S1109,SelfEfficacy,7,Q4,3.56,I felt confident during the activity because I planned my steps carefully.,Good reflection. You identified specific strategies and challenges.,SelfEfficacy,SelfEfficacy_Effort_4,Effort,2,2
S1110,NASA_TLX,1,Q3,2.39,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Consider connecting your reasoning steps to outcomes.,MSLQ,MSLQ_CognitiveStrategy_5,CognitiveStrategy,4,1
S1111,SelfEfficacy,9,Q9,4.93,The task was challenging but helped me learn new strategies.,Consider connecting your reasoning steps to outcomes.,SelfEfficacy,SelfEfficacy_Effort_6,Effort,6,3
S1112,MSLQ,1,Q8,3.67,I struggled to focus and need to improve my time management.,You can add more detail about how you planned or revised your approach.,NASA_TLX,NASA_TLX_TD_9,TLX,1,1
S1113,NASA_TLX,1,Q2,4.21,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Try elaborating more on what worked and what didn’t.,NASA_TLX,NASA_TLX_MD_9,TLX,7,5
S1114,MSLQ,7,Q1,3.4,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Consider connecting your reasoning steps to outcomes.,NASA_TLX,NASA_TLX_MD_3,TLX,3,2
S1115,SelfEfficacy,2,Q2,3.67,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Try elaborating more on what worked and what didn’t.,NASA_TLX,NASA_TLX_E_7,TLX,4,3
S1116,MSLQ,5,Q3,5.22,I didn’t fully understand the instructions and relied on peers for clarification.,Consider connecting your reasoning steps to outcomes.,MSLQ,MSLQ_SelfRegulation_7,SelfRegulation,5,1
S1117,NASA_TLX,8,Q3,4.69,AI feedback helped me correct my errors quickly and reflect on my reasoning.,You can add more detail about how you planned or revised your approach.,MSLQ,MSLQ_CognitiveStrategy_4,CognitiveStrategy,5,1
S1118,NASA_TLX,8,Q7,3.89,I felt confident during the activity because I planned my steps carefully.,Excellent metacognitive awareness in this response.,MSLQ,MSLQ_Motivation_2,Motivation,1,2
S1119,SelfEfficacy,3,Q10,4.77,AI feedback helped me correct my errors quickly and reflect on my reasoning.,You can add more detail about how you planned or revised your approach.,MSLQ,MSLQ_Motivation_1,Motivation,7,1
S1120,MSLQ,7,Q2,4.79,I didn’t fully understand the instructions and relied on peers for clarification.,Good reflection. You identified specific strategies and challenges.,NASA_TLX,NASA_TLX_P_7,TLX,5,4
S1121,NASA_TLX,3,Q7,3.61,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Consider connecting your reasoning steps to outcomes.,SelfEfficacy,SelfEfficacy_Effort_5,Effort,7,5
S1122,SelfEfficacy,6,Q7,2.53,I struggled to focus and need to improve my time management.,Good reflection. You identified specific strategies and challenges.,NASA_TLX,NASA_TLX_FR_9,TLX,4,5
S1123,NASA_TLX,6,Q10,3.1,I struggled to focus and need to improve my time management.,Good reflection. You identified specific strategies and challenges.,NASA_TLX,NASA_TLX_FR_5,TLX,5,2
S1124,NASA_TLX,3,Q8,2.66,I didn’t fully understand the instructions and relied on peers for clarification.,Try elaborating more on what worked and what didn’t.,SelfEfficacy,SelfEfficacy_Confidence_9,Confidence,4,4
S1125,MSLQ,7,Q9,5.16,I felt confident during the activity because I planned my steps carefully.,Consider connecting your reasoning steps to outcomes.,NASA_TLX,NASA_TLX_PD_4,TLX,7,3
S1126,NASA_TLX,3,Q5,5.34,I felt confident during the activity because I planned my steps carefully.,Good reflection. You identified specific strategies and challenges.,MSLQ,MSLQ_Motivation_8,Motivation,6,1
S1127,MSLQ,8,Q9,5.59,The task was challenging but helped me learn new strategies.,Excellent metacognitive awareness in this response.,SelfEfficacy,SelfEfficacy_Persistence_1,Persistence,7,1
S1128,NASA_TLX,10,Q1,1.98,I didn’t fully understand the instructions and relied on peers for clarification.,Good reflection. You identified specific strategies and challenges.,NASA_TLX,NASA_TLX_PD_5,TLX,4,3
S1129,SelfEfficacy,4,Q2,5.07,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Excellent metacognitive awareness in this response.,NASA_TLX,NASA_TLX_P_8,TLX,6,3
S1130,NASA_TLX,1,Q9,6.21,I didn’t fully understand the instructions and relied on peers for clarification.,Try elaborating more on what worked and what didn’t.,NASA_TLX,NASA_TLX_PD_9,TLX,3,1
S1131,MSLQ,4,Q5,5.11,The task was challenging but helped me learn new strategies.,Good reflection. You identified specific strategies and challenges.,NASA_TLX,NASA_TLX_TD_8,TLX,4,5
S1132,MSLQ,7,Q6,1.85,I didn’t fully understand the instructions and relied on peers for clarification.,You can add more detail about how you planned or revised your approach.,MSLQ,MSLQ_Motivation_1,Motivation,6,4
S1133,SelfEfficacy,11,Q2,5.77,I didn’t fully understand the instructions and relied on peers for clarification.,Try elaborating more on what worked and what didn’t.,NASA_TLX,NASA_TLX_MD_4,TLX,1,3
S1134,NASA_TLX,4,Q5,4.04,The task was challenging but helped me learn new strategies.,Excellent metacognitive awareness in this response.,SelfEfficacy,SelfEfficacy_Effort_1,Effort,5,5
S1135,NASA_TLX,6,Q7,3.77,I felt confident during the activity because I planned my steps carefully.,Try elaborating more on what worked and what didn’t.,MSLQ,MSLQ_CognitiveStrategy_1,CognitiveStrategy,1,5
S1136,SelfEfficacy,9,Q3,4.45,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Good reflection. You identified specific strategies and challenges.,NASA_TLX,NASA_TLX_FR_7,TLX,5,5
S1137,NASA_TLX,1,Q8,2.95,The task was challenging but helped me learn new strategies.,Consider connecting your reasoning steps to outcomes.,MSLQ,MSLQ_SelfRegulation_7,SelfRegulation,4,2
S1138,NASA_TLX,5,Q1,4,I struggled to focus and need to improve my time management.,Consider connecting your reasoning steps to outcomes.,NASA_TLX,NASA_TLX_P_7,TLX,4,5
S1139,MSLQ,11,Q5,5.62,I felt confident during the activity because I planned my steps carefully.,Excellent metacognitive awareness in this response.,NASA_TLX,NASA_TLX_MD_8,TLX,4,3
S1140,NASA_TLX,7,Q9,4.62,I struggled to focus and need to improve my time management.,Excellent metacognitive awareness in this response.,SelfEfficacy,SelfEfficacy_Effort_7,Effort,4,4
S1141,NASA_TLX,1,Q3,4.06,I felt confident during the activity because I planned my steps carefully.,Consider connecting your reasoning steps to outcomes.,MSLQ,MSLQ_CognitiveStrategy_8,CognitiveStrategy,3,5
S1142,SelfEfficacy,4,Q9,4.09,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Excellent metacognitive awareness in this response.,MSLQ,MSLQ_CognitiveStrategy_1,CognitiveStrategy,4,1
S1143,SelfEfficacy,6,Q2,2.82,AI feedback helped me correct my errors quickly and reflect on my reasoning.,Try elaborating more on what worked and what didn’t.,NASA_TLX,NASA_TLX_FR_3,TLX,4,3
S1144,MSLQ,2,Q5,3.85,I didn’t fully understand the instructions and relied on peers for clarification.,You can add more detail about how you planned or revised your approach.,SelfEfficacy,SelfEfficacy_Confidence_6,Confidence,6,1
S1145,NASA_TLX,10,Q9,2.37,I struggled to focus and need to improve my time management.,You can add more detail about how you planned or revised your approach.,SelfEfficacy,SelfEfficacy_Confidence_8,Confidence,4,2
