event_id,timestamp,user_id,session_id,sequence_index,event_type,activity_name,page,course_id,course_name,exercise_id,resource_id,reflection_id,device,browser,os,network_type,referrer,latency_ms,error_code,success_flag,dwell_time_sec,session_duration_sec,inactivity_seconds,tab_switch_count
evt_85b290b3a53946b5,2025-09-24T21:23:20+08:00,S1102,sess_277f83a2884e,30,view_hint,View Hint,/exercise/hints,BSDS3002,Machine Learning Applications,,,,Laptop,Chrome,macOS,wifi,lms,240,ERR_VALIDATION,0,40.25,1403.6,30,2
evt_4f2ce8ea243f409a,2025-10-06T18:47:38+08:00,S1174,sess_7ff3489ca362,2,write_reflection,Write Reflection,/reflection,BSDS3004,AI and Society,,,RF262,Laptop,Chrome,Windows,ethernet,internal_link,215,ERR_VALIDATION,0,26.79,697.0,18,0
evt_b80a59ded1bb49d7,2025-09-28T00:08:02+08:00,S1542,sess_248d5fed2e39,7,start_exercise,Start Exercise,/exercise,BSDS3002,Machine Learning Applications,EX542,,,Laptop,Chrome,Windows,ethernet,lms,103,ERR_VALIDATION,0,7.4,1184.7,237,4
evt_a5b3224b05c844f9,2025-10-06T20:26:50+08:00,S1941,sess_c5b64c6cab77,18,submit_solution,Submit Solution,/exercise/submit,BSDS3001,Data Analytics Foundations,EX546,,,Desktop,Chrome,Windows,wifi,lms,245,,0,12.5,1303.5,64,0
evt_ffb031c1384d4a8c,2025-09-26T04:38:55+08:00,S1557,sess_0dc63fa98b55,10,open_course,Open Course,/course/overview,BSDS3003,Blockchain and FinTech Systems,,,,Laptop,Chrome,Linux,ethernet,search,218,,0,15.48,468.2,44,1
evt_2353739d03af43f6,2025-09-27T22:09:59+08:00,S1871,sess_c52538bf89e0,18,submit_solution,Submit Solution,/exercise/submit,BSDS3001,Data Analytics Foundations,EX873,,,Laptop,Chrome,Windows,ethernet,direct,104,,1,23.66,686.2,92,1
evt_6356342d2e214314,2025-10-06T04:37:38+08:00,S1147,sess_23904cc66c6b,11,write_reflection,Write Reflection,/reflection,BSDS3002,Machine Learning Applications,,,RF586,Laptop,Safari,Linux,5g,direct,122,ERR_VALIDATION,0,4.09,1138.2,90,0
evt_169c9e5485024939,2025-10-03T21:39:06+08:00,S1230,sess_bbb4d4055ca8,21,end_session,End Session,/dashboard,BSDS3002,Machine Learning Applications,,,,Mobile,Chrome,macOS,wifi,lms,184,,0,29.27,1004.7,98,0
evt_6b3a9bc93c994981,2025-09-27T02:28:05+08:00,S1247,sess_822fb5d2a18d,36,write_reflection,Write Reflection,/reflection,BSDS3002,Machine Learning Applications,,,RF764,Laptop,Chrome,Windows,5g,lms,226,,0,21.29,747.9,94,1
evt_a3583ffd50f14d51,2025-10-08T21:20:41+08:00,S1309,sess_3b6db17f5012,30,submit_solution,Submit Solution,/exercise/submit,BSDS3001,Data Analytics Foundations,EX965,,,Laptop,Chrome,Windows,wifi,direct,146,ERR_TIMEOUT,0,22.44,1380.3,116,1
evt_8f680c501f6c41de,2025-09-27T16:54:19+08:00,S1134,sess_2152381f1734,33,start_exercise,Start Exercise,/exercise,BSDS3002,Machine Learning Applications,EX737,,,Laptop,Chrome,macOS,wifi,internal_link,61,,0,26.8,212.2,203,4
evt_0305f68498a44186,2025-09-25T02:53:48+08:00,S1218,sess_f98f0ddfb89d,20,edit_solution,Edit Solution,/exercise/edit,BSDS3002,Machine Learning Applications,EX548,,,Laptop,Chrome,Windows,4g,direct,180,,0,24.8,231.0,108,4
evt_c9ddc46f76124538,2025-10-06T04:11:38+08:00,S1874,sess_0c08408bbcb8,37,end_session,End Session,/dashboard,BSDS3001,Data Analytics Foundations,,,,Desktop,Safari,Android,4g,direct,40,,0,23.76,1132.5,98,1
evt_95220490881c4936,2025-09-27T23:47:55+08:00,S1657,sess_dc4bc4b61a4d,13,submit_solution,Submit Solution,/exercise/submit,BSDS3004,AI and Society,EX247,,,Laptop,Chrome,macOS,ethernet,lms,258,ERR_500,0,12.65,1155.7,8,0
evt_4248c70847b14ba7,2025-10-05T16:52:38+08:00,S1655,sess_92db1cc27c22,32,write_reflection,Write Reflection,/reflection,BSDS3004,AI and Society,,,RF487,Laptop,Chrome,Windows,ethernet,direct,258,ERR_500,0,26.32,1115.9,17,1
evt_8f5fa287f4154f1d,2025-10-08T16:15:02+08:00,S1766,sess_07f8597e38a3,39,end_session,End Session,/dashboard,BSDS3002,Machine Learning Applications,,,,Mobile,Edge,macOS,wifi,search,150,ERR_TIMEOUT,0,26.8,79.7,8,1
evt_d28ffbef090f4f1d,2025-10-05T19:03:51+08:00,S1664,sess_45377d0b7471,12,write_reflection,Write Reflection,/reflection,BSDS3004,AI and Society,,,RF118,Laptop,Chrome,macOS,wifi,direct,303,ERR_TIMEOUT,0,6.66,368.1,100,0
evt_b049061bcb734278,2025-10-04T06:54:18+08:00,S1509,sess_d832373412de,5,write_reflection,Write Reflection,/reflection,BSDS3001,Data Analytics Foundations,,,RF437,Desktop,Edge,Windows,ethernet,search,186,ERR_TIMEOUT,0,40.0,1050.8,27,1
evt_0a484ccb4286446a,2025-10-05T18:57:46+08:00,S1565,sess_56e1349bfdff,38,view_analytics,View Analytics,/analytics/progress,BSDS3002,Machine Learning Applications,,,,Mobile,Safari,Windows,wifi,direct,184,ERR_VALIDATION,0,5.62,1550.7,112,0
evt_09ef1187010a40a4,2025-10-04T00:25:07+08:00,S1146,sess_d3e83578c01a,9,start_session,Start Session,/dashboard,BSDS3004,AI and Society,,,,Desktop,Chrome,Windows,5g,lms,159,,0,28.38,738.5,46,0
evt_0c6f81fff80e40d3,2025-09-25T04:14:59+08:00,S1244,sess_def04df2e8f6,6,submit_solution,Submit Solution,/exercise/submit,BSDS3003,Blockchain and FinTech Systems,EX139,,,Tablet,Safari,macOS,wifi,direct,109,,0,25.25,689.0,55,1
evt_3b1114dd98bc4f53,2025-10-07T17:17:12+08:00,S1075,sess_a5e628fe08e4,26,view_analytics,View Analytics,/analytics/progress,BSDS3001,Data Analytics Foundations,,,,Desktop,Firefox,macOS,ethernet,internal_link,171,,0,12.0,867.8,89,0
evt_a7e87f1412d44537,2025-10-07T20:15:14+08:00,S1637,sess_3b7db34dad20,2,view_analytics,View Analytics,/analytics/progress,BSDS3003,Blockchain and FinTech Systems,,,,Mobile,Chrome,macOS,wifi,lms,134,ERR_VALIDATION,0,14.02,947.0,59,0
evt_f0c026cabf7a4ef7,2025-10-03T03:46:12+08:00,S1801,sess_a060feb6e35a,32,open_resource,Open Resource,/resources/article,BSDS3003,Blockchain and FinTech Systems,,RES556,,Laptop,Firefox,macOS,wifi,direct,198,,0,37.11,1306.2,110,0
evt_ac43bb1084704d7b,2025-10-05T22:29:35+08:00,S1404,sess_991b005b6616,35,start_session,Start Session,/dashboard,BSDS3002,Machine Learning Applications,,,,Tablet,Chrome,Linux,wifi,lms,219,ERR_VALIDATION,0,7.29,825.5,16,0
evt_126dc623763b4115,2025-09-27T02:40:01+08:00,S1491,sess_847a72735730,18,start_exercise,Start Exercise,/exercise,BSDS3004,AI and Society,EX637,,,Desktop,Chrome,Windows,5g,email,171,ERR_VALIDATION,0,26.38,750.3,580,0
evt_f23924cc41cb45a7,2025-10-01T05:02:55+08:00,S1402,sess_6f984a23ade6,17,open_course,Open Course,/course/overview,BSDS3003,Blockchain and FinTech Systems,,,,Mobile,Chrome,macOS,wifi,direct,192,,0,23.63,1490.9,65,1
evt_39cf8d950e174f8c,2025-09-25T22:33:07+08:00,S1134,sess_e2f2b11c126a,27,edit_solution,Edit Solution,/exercise/edit,BSDS3003,Blockchain and FinTech Systems,EX888,,,Mobile,Firefox,macOS,wifi,direct,306,ERR_TIMEOUT,0,20.92,225.4,319,2
evt_3a7492126b6f4f0c,2025-10-06T06:26:11+08:00,S1977,sess_d470a0d2f294,15,view_analytics,View Analytics,/analytics/progress,BSDS3001,Data Analytics Foundations,,,,Desktop,Chrome,Windows,5g,search,237,ERR_TIMEOUT,0,35.54,488.1,106,0
evt_b03455ec83374fbf,2025-10-07T18:12:07+08:00,S1198,sess_a1f25aba12a4,10,start_session,Start Session,/dashboard,BSDS3004,AI and Society,,,,Desktop,Chrome,macOS,4g,internal_link,184,,0,18.84,947.4,85,1
evt_8f4b894d032f4e32,2025-10-07T23:16:16+08:00,S1186,sess_8cbf5b4b077b,17,end_session,End Session,/dashboard,BSDS3004,AI and Society,,,,Desktop,Safari,macOS,wifi,direct,373,,0,12.78,844.9,115,1
evt_6ccb81334e5c4471,2025-10-01T05:18:35+08:00,S1804,sess_1ed4d39b8ceb,32,end_session,End Session,/dashboard,BSDS3002,Machine Learning Applications,,,,Tablet,Firefox,macOS,wifi,direct,223,ERR_500,0,25.56,550.7,9,0
evt_22dd987e17d14830,2025-09-27T20:41:57+08:00,S1380,sess_1a806bf907d0,3,write_reflection,Write Reflection,/reflection,BSDS3001,Data Analytics Foundations,,,RF681,Tablet,Firefox,Linux,wifi,lms,192,ERR_TIMEOUT,0,12.17,977.5,48,0
evt_3870c9f287874bd2,2025-09-29T17:51:27+08:00,S1564,sess_a90cb81d1d6a,3,edit_solution,Edit Solution,/exercise/edit,BSDS3004,AI and Society,EX205,,,Desktop,Firefox,macOS,4g,direct,177,ERR_TIMEOUT,0,12.6,767.8,191,4
evt_186005194f2642c1,2025-10-02T20:37:57+08:00,S1005,sess_68bb32027e57,1,start_exercise,Start Exercise,/exercise,BSDS3003,Blockchain and FinTech Systems,EX256,,,Laptop,Chrome,Android,4g,email,294,,0,7.29,482.8,506,3
evt_cefb474ed544419a,2025-09-26T06:37:58+08:00,S1987,sess_00ea7f6e34b1,24,start_exercise,Start Exercise,/exercise,BSDS3002,Machine Learning Applications,EX266,,,Desktop,Safari,macOS,4g,internal_link,289,,0,19.1,1004.2,272,4
evt_a0eb0bfb794d47fb,2025-10-03T00:04:50+08:00,S1315,sess_58a91b59c01a,20,open_course,Open Course,/course/overview,BSDS3002,Machine Learning Applications,,,,Laptop,Chrome,macOS,wifi,direct,296,,0,44.5,595.4,69,0
evt_2bc11a3f6a654a7b,2025-10-02T16:18:33+08:00,S1044,sess_3f042fb362f8,22,submit_solution,Submit Solution,/exercise/submit,BSDS3004,AI and Society,EX153,,,Laptop,Chrome,Windows,wifi,lms,261,ERR_TIMEOUT,0,14.68,1054.8,79,1
evt_2f08e91326eb4b8d,2025-10-03T03:12:27+08:00,S1346,sess_70279e65badd,9,view_analytics,View Analytics,/analytics/progress,BSDS3003,Blockchain and FinTech Systems,,,,Mobile,Chrome,Windows,wifi,direct,235,,0,41.79,122.0,5,0
evt_a9b09e9ccf9c48cb,2025-09-29T20:22:47+08:00,S1655,sess_92db1cc27c22,16,open_resource,Open Resource,/resources/article,BSDS3002,Machine Learning Applications,,RES815,,Laptop,Safari,macOS,wifi,email,229,ERR_TIMEOUT,0,12.39,932.1,94,1
evt_fb25af2b07e349e3,2025-10-02T05:13:52+08:00,S1364,sess_bb0edb050215,7,end_session,End Session,/dashboard,BSDS3004,AI and Society,,,,Mobile,Safari,macOS,wifi,internal_link,106,ERR_TIMEOUT,0,28.97,1037.6,15,0
evt_3a9fd73780ec4d5d,2025-09-29T18:53:55+08:00,S1982,sess_05a85927ba3b,5,open_resource,Open Resource,/resources/article,BSDS3004,AI and Society,,RES161,,Laptop,Safari,Windows,wifi,direct,283,,0,12.12,627.8,22,0
evt_a33aa288011a477d,2025-10-05T03:10:50+08:00,S1218,sess_ddca7b8b7c37,8,view_hint,View Hint,/exercise/hints,BSDS3002,Machine Learning Applications,,,,Desktop,Chrome,macOS,5g,direct,40,ERR_TIMEOUT,0,14.06,1191.6,17,3
evt_5be41a8d7bb14b51,2025-10-08T00:18:07+08:00,S1948,sess_40c74abb322c,40,submit_solution,Submit Solution,/exercise/submit,BSDS3002,Machine Learning Applications,EX155,,,Mobile,Firefox,Android,wifi,email,124,ERR_VALIDATION,0,12.66,711.1,52,1
evt_32dfc55c0e2e4ae8,2025-09-26T17:05:39+08:00,S1053,sess_ec1ccc93972f,14,edit_solution,Edit Solution,/exercise/edit,BSDS3002,Machine Learning Applications,EX194,,,Laptop,Firefox,Windows,wifi,direct,40,ERR_TIMEOUT,0,24.7,66.9,495,2
evt_052d4de704eb4b12,2025-10-02T03:25:22+08:00,S1135,sess_ae0f3d83c2e2,28,end_session,End Session,/dashboard,BSDS3004,AI and Society,,,,Laptop,Chrome,Windows,wifi,direct,307,ERR_TIMEOUT,0,27.8,882.7,34,1
evt_dc132631598d4110,2025-10-08T02:09:19+08:00,S1324,sess_1a5c213fa026,22,start_session,Start Session,/dashboard,BSDS3004,AI and Society,,,,Mobile,Chrome,Windows,ethernet,lms,90,ERR_500,0,15.86,1567.0,47,1
evt_377d752b29054784,2025-10-03T23:31:57+08:00,S1911,sess_7707007889ac,6,write_reflection,Write Reflection,/reflection,BSDS3002,Machine Learning Applications,,,RF875,Laptop,Chrome,macOS,5g,lms,79,ERR_VALIDATION,0,43.28,1280.4,4,1
evt_dad769c7b06941b3,2025-10-08T21:13:15+08:00,S1188,sess_9e380a713cad,3,view_analytics,View Analytics,/analytics/progress,BSDS3004,AI and Society,,,,Laptop,Chrome,Windows,wifi,direct,143,,0,16.95,742.5,114,0
evt_c02fb88f13954793,2025-09-30T06:31:48+08:00,S1932,sess_ed9be79b0ab0,40,edit_solution,Edit Solution,/exercise/edit,BSDS3001,Data Analytics Foundations,EX225,,,Laptop,Firefox,macOS,5g,direct,163,ERR_TIMEOUT,0,28.98,797.0,49,0
evt_7f62cbe800da4486,2025-10-07T04:14:07+08:00,S1228,sess_22d7b8ceb411,9,edit_solution,Edit Solution,/exercise/edit,BSDS3004,AI and Society,EX277,,,Laptop,Edge,macOS,5g,direct,328,,0,19.54,959.4,560,1
evt_9853141a9b7a4783,2025-10-05T21:32:52+08:00,S1350,sess_2cbde01fce28,27,open_resource,Open Resource,/resources/article,BSDS3003,Blockchain and FinTech Systems,,RES274,,Laptop,Chrome,Windows,4g,direct,223,ERR_TIMEOUT,0,40.56,1097.3,16,0
evt_6e76b3f76b0945b6,2025-09-28T20:03:41+08:00,S1631,sess_ba9e0387c0be,34,view_analytics,View Analytics,/analytics/progress,BSDS3003,Blockchain and FinTech Systems,,,,Laptop,Firefox,macOS,ethernet,internal_link,241,,0,33.08,394.8,92,0
evt_332a0a4fab6c4c01,2025-09-27T05:01:44+08:00,S1053,sess_ec1ccc93972f,10,open_course,Open Course,/course/overview,BSDS3003,Blockchain and FinTech Systems,,,,Laptop,Chrome,Windows,wifi,direct,329,,0,35.22,437.7,1,0
evt_eadeab43d4fa46a6,2025-10-01T02:47:29+08:00,S1175,sess_0642a5baa5ae,13,end_session,End Session,/dashboard,BSDS3001,Data Analytics Foundations,,,,Laptop,Firefox,Linux,wifi,direct,158,,0,18.52,729.7,72,1
